customer_id,salary_day,true_intent_to_pay,reattempt_propensity,annoyance_threshold,resp_sms,resp_whatsapp,resp_email,tech_savviness
CUST_00396,15,0.712,0.388,3,0.355,0.581,0.04,0.253
CUST_00397,1,0.959,0.323,4,0.227,0.547,0.163,0.899
CUST_00398,25,0.836,0.741,4,0.197,0.641,0.052,0.591
CUST_00399,7,0.648,0.573,4,0.222,0.285,0.105,0.7
CUST_00400,10,0.581,0.041,4,0.278,0.512,0.088,0.856
CUST_00401,5,0.77,0.869,3,0.254,0.371,0.172,0.661
CUST_00402,15,0.671,0.513,3,0.389,0.306,0.121,0.682
CUST_00403,5,0.458,0.294,5,0.146,0.64,0.186,0.264
CUST_00404,3,0.7,0.088,2,0.413,0.517,0.093,0.695
CUST_00405,15,0.767,0.489,4,0.446,0.345,0.118,0.86
CUST_00406,25,0.709,0.102,3,0.38,0.253,0.172,0.142
CUST_00407,3,0.851,0.094,3,0.197,0.534,0.117,0.804
CUST_00408,15,0.527,0.686,4,0.199,0.339,0.179,0.5
CUST_00409,7,0.751,0.439,3,0.134,0.301,0.18,0.627
CUST_00410,3,0.831,0.135,2,0.37,0.368,0.084,0.61
CUST_00411,5,0.521,0.418,4,0.381,0.291,0.15,0.791
CUST_00412,1,0.856,0.59,2,0.206,0.354,0.161,0.739
CUST_00413,7,0.977,0.35,2,0.312,0.39,0.085,0.729
CUST_00414,5,0.694,0.073,3,0.138,0.351,0.196,0.629
CUST_00415,15,0.875,0.357,4,0.188,0.39,0.087,0.373
CUST_00416,7,0.654,0.195,2,0.362,0.325,0.104,0.367
CUST_00417,15,0.709,0.478,4,0.35,0.484,0.073,0.57
CUST_00418,1,0.831,0.45,3,0.32,0.668,0.077,0.709
CUST_00419,1,0.863,0.463,4,0.307,0.375,0.167,0.79
CUST_00420,15,0.912,0.445,2,0.296,0.42,0.096,0.577
CUST_00421,15,0.559,0.502,3,0.263,0.552,0.154,0.525
CUST_00422,1,0.936,0.305,4,0.44,0.62,0.177,0.774
CUST_00423,15,0.63,0.305,3,0.444,0.337,0.134,0.126
CUST_00424,7,0.506,0.205,3,0.161,0.586,0.172,0.493
CUST_00425,5,0.839,0.359,5,0.167,0.59,0.053,0.501
CUST_00426,7,0.597,0.423,2,0.392,0.424,0.121,0.545
CUST_00427,1,0.802,0.284,3,0.23,0.42,0.13,0.198
CUST_00428,2,0.956,0.404,4,0.188,0.418,0.087,0.516
CUST_00429,5,0.927,0.208,3,0.158,0.25,0.055,0.526
CUST_00430,3,0.564,0.338,4,0.387,0.579,0.102,0.56
CUST_00431,10,0.893,0.296,3,0.2,0.424,0.17,0.289
CUST_00432,15,0.718,0.436,3,0.191,0.535,0.133,0.791
CUST_00433,2,0.825,0.299,3,0.117,0.377,0.051,0.734
CUST_00434,2,0.809,0.779,4,0.322,0.444,0.077,0.262
CUST_00435,7,0.875,0.316,2,0.167,0.367,0.082,0.747
CUST_00436,1,0.848,0.137,3,0.442,0.393,0.068,0.542
CUST_00437,15,0.688,0.184,2,0.398,0.685,0.137,0.784
CUST_00438,1,0.676,0.699,5,0.3,0.33,0.057,0.768
CUST_00439,15,0.714,0.247,5,0.162,0.38,0.121,0.732
CUST_00440,1,0.7,0.271,3,0.36,0.648,0.141,0.692
CUST_00441,1,0.651,0.595,4,0.216,0.664,0.057,0.478
CUST_00442,1,0.778,0.486,4,0.369,0.414,0.152,0.644
CUST_00443,2,0.879,0.136,3,0.203,0.45,0.164,0.637
CUST_00444,25,0.603,0.218,3,0.234,0.537,0.035,0.406
CUST_00445,2,0.691,0.347,2,0.431,0.404,0.083,0.295
CUST_00446,15,0.886,0.726,2,0.294,0.491,0.156,0.948
CUST_00447,7,0.646,0.376,3,0.303,0.459,0.121,0.659
CUST_00448,5,0.902,0.478,3,0.162,0.478,0.117,0.608
CUST_00449,1,0.624,0.353,4,0.367,0.346,0.115,0.789
CUST_00450,15,0.668,0.239,3,0.249,0.427,0.101,0.527
CUST_00451,2,0.748,0.229,2,0.185,0.396,0.112,0.61
CUST_00452,7,0.842,0.338,2,0.205,0.34,0.045,0.316
CUST_00453,7,0.675,0.233,4,0.108,0.304,0.1,0.875
CUST_00454,10,0.766,0.531,4,0.131,0.665,0.134,0.817
CUST_00455,5,0.793,0.343,4,0.214,0.456,0.143,0.784
CUST_00456,7,0.8,0.43,3,0.248,0.372,0.189,0.71
CUST_00457,2,0.836,0.15,4,0.142,0.47,0.133,0.849
CUST_00458,10,0.755,0.497,3,0.327,0.395,0.054,0.735
CUST_00459,2,0.846,0.272,5,0.193,0.394,0.163,0.883
CUST_00460,1,0.876,0.493,2,0.33,0.415,0.134,0.547
CUST_00461,1,0.883,0.28,4,0.282,0.51,0.18,0.52
CUST_00462,1,0.679,0.513,4,0.302,0.453,0.067,0.857
CUST_00463,3,0.641,0.471,5,0.144,0.352,0.108,0.494
CUST_00464,2,0.935,0.499,4,0.284,0.61,0.092,0.449
CUST_00465,1,0.922,0.502,3,0.423,0.526,0.193,0.55
CUST_00466,2,0.873,0.479,5,0.153,0.45,0.144,0.68
CUST_00467,1,0.685,0.53,3,0.136,0.699,0.133,0.375
CUST_00468,7,0.64,0.833,4,0.185,0.473,0.13,0.495
CUST_00469,7,0.9,0.368,3,0.376,0.634,0.127,0.401
CUST_00470,1,0.762,0.323,3,0.256,0.272,0.108,0.799
CUST_00471,7,0.844,0.31,3,0.382,0.653,0.158,0.34
CUST_00472,15,0.563,0.579,4,0.411,0.382,0.127,0.368
CUST_00473,1,0.56,0.326,4,0.303,0.532,0.181,0.751
CUST_00474,25,0.839,0.595,4,0.311,0.574,0.152,0.622
CUST_00475,5,0.364,0.434,5,0.175,0.453,0.122,0.639
CUST_00476,7,0.915,0.358,3,0.311,0.591,0.06,0.436
CUST_00477,7,0.832,0.526,3,0.179,0.694,0.138,0.513
CUST_00478,5,0.397,0.611,4,0.419,0.52,0.128,0.913
CUST_00479,2,0.817,0.222,5,0.292,0.425,0.106,0.472
CUST_00480,15,0.709,0.121,3,0.301,0.489,0.097,0.716
CUST_00481,1,0.813,0.48,2,0.431,0.388,0.13,0.642
CUST_00482,7,0.778,0.175,2,0.184,0.616,0.171,0.895
CUST_00483,1,0.895,0.456,4,0.271,0.52,0.137,0.583
CUST_00484,2,0.803,0.501,4,0.409,0.678,0.124,0.834
CUST_00485,3,0.895,0.215,3,0.433,0.665,0.09,0.511
CUST_00486,15,0.496,0.455,3,0.287,0.528,0.059,0.573
CUST_00487,5,0.22,0.432,4,0.339,0.526,0.089,0.817
CUST_00488,10,0.451,0.276,3,0.236,0.414,0.085,0.731
CUST_00489,5,0.724,0.151,4,0.371,0.531,0.039,0.691
CUST_00490,1,0.905,0.256,4,0.375,0.289,0.031,0.218
CUST_00491,2,0.873,0.303,5,0.332,0.316,0.106,0.433
CUST_00492,5,0.935,0.275,3,0.349,0.677,0.044,0.951
CUST_00493,15,0.929,0.32,4,0.366,0.456,0.044,0.685
CUST_00494,15,0.849,0.539,5,0.422,0.288,0.143,0.778
CUST_00495,10,0.613,0.841,4,0.17,0.586,0.044,0.93
CUST_00496,1,0.5,0.205,3,0.44,0.565,0.149,0.43
CUST_00497,3,0.796,0.082,4,0.128,0.594,0.152,0.446
CUST_00498,15,0.71,0.528,3,0.263,0.458,0.187,0.778
CUST_00499,2,0.503,0.345,3,0.152,0.402,0.034,0.714
CUST_00500,25,0.523,0.152,2,0.208,0.321,0.137,0.869
CUST_00501,1,0.834,0.323,5,0.375,0.5,0.128,0.769
CUST_00502,3,0.701,0.788,4,0.412,0.681,0.075,0.794
CUST_00503,1,0.624,0.441,4,0.357,0.338,0.166,0.542
CUST_00504,1,0.868,0.54,4,0.259,0.323,0.052,0.826
CUST_00505,15,0.414,0.711,5,0.182,0.59,0.195,0.37
CUST_00506,10,0.82,0.754,3,0.153,0.642,0.115,0.352
CUST_00507,5,0.285,0.098,3,0.295,0.48,0.057,0.547
CUST_00508,5,0.931,0.696,4,0.392,0.553,0.181,0.939
CUST_00509,1,0.535,0.268,3,0.309,0.608,0.143,0.103
CUST_00510,1,0.954,0.068,5,0.142,0.537,0.192,0.9
CUST_00511,1,0.806,0.098,2,0.414,0.545,0.193,0.677
CUST_00512,25,0.353,0.631,3,0.387,0.495,0.093,0.786
CUST_00513,1,0.675,0.281,4,0.411,0.405,0.186,0.376
CUST_00514,15,0.827,0.515,4,0.231,0.672,0.119,0.45
CUST_00515,1,0.632,0.587,2,0.189,0.678,0.102,0.416
CUST_00516,1,0.793,0.574,2,0.341,0.529,0.09,0.609
CUST_00517,1,0.702,0.111,3,0.276,0.458,0.149,0.501
CUST_00518,1,0.76,0.018,4,0.115,0.332,0.088,0.81
CUST_00519,5,0.685,0.49,3,0.248,0.279,0.075,0.252
CUST_00520,2,0.685,0.436,2,0.121,0.605,0.049,0.969
CUST_00521,3,0.466,0.176,3,0.186,0.589,0.173,0.679
CUST_00522,2,0.688,0.327,2,0.123,0.288,0.182,0.481
CUST_00523,2,0.575,0.509,3,0.22,0.483,0.137,0.62
CUST_00524,2,0.838,0.246,2,0.369,0.383,0.147,0.642
CUST_00525,10,0.854,0.26,4,0.188,0.685,0.168,0.576
CUST_00526,2,0.641,0.165,3,0.374,0.667,0.147,0.412
CUST_00527,5,0.612,0.206,2,0.359,0.69,0.076,0.616
CUST_00528,5,0.884,0.414,4,0.233,0.494,0.076,0.806
CUST_00529,7,0.821,0.443,4,0.264,0.261,0.189,0.503
CUST_00530,1,0.706,0.224,3,0.384,0.631,0.196,0.817
CUST_00531,1,0.793,0.066,5,0.162,0.497,0.19,0.577
CUST_00532,1,0.814,0.607,2,0.146,0.638,0.172,0.766
CUST_00533,1,0.607,0.412,5,0.224,0.522,0.152,0.699
CUST_00534,1,0.794,0.728,4,0.152,0.639,0.164,0.799
CUST_00535,15,0.928,0.774,3,0.235,0.544,0.104,0.635
CUST_00536,1,0.966,0.455,3,0.318,0.378,0.039,0.641
CUST_00537,25,0.642,0.395,3,0.115,0.386,0.192,0.491
CUST_00538,15,0.891,0.414,4,0.443,0.633,0.192,0.219
CUST_00539,7,0.885,0.678,4,0.19,0.621,0.124,0.388
CUST_00540,15,0.524,0.255,3,0.242,0.632,0.079,0.827
CUST_00541,3,0.337,0.163,3,0.3,0.268,0.182,0.474
CUST_00542,1,0.727,0.244,4,0.345,0.293,0.133,0.671
CUST_00543,1,0.843,0.285,3,0.152,0.283,0.161,0.554
CUST_00544,1,0.864,0.175,4,0.213,0.31,0.086,0.476
CUST_00545,1,0.777,0.329,2,0.269,0.621,0.115,0.363
CUST_00546,3,0.679,0.261,3,0.407,0.668,0.185,0.741
CUST_00547,1,0.917,0.402,4,0.196,0.616,0.123,0.481
CUST_00548,1,0.594,0.343,4,0.431,0.259,0.052,0.627
CUST_00549,2,0.923,0.536,5,0.438,0.301,0.107,0.23
CUST_00550,2,0.468,0.342,2,0.22,0.485,0.147,0.292
CUST_00551,1,0.432,0.201,5,0.273,0.597,0.096,0.922
CUST_00552,15,0.476,0.173,4,0.219,0.531,0.036,0.636
CUST_00553,1,0.896,0.186,5,0.215,0.57,0.178,0.449
CUST_00554,5,0.532,0.54,3,0.413,0.589,0.037,0.873
CUST_00555,10,0.44,0.924,4,0.159,0.681,0.177,0.969
CUST_00556,1,0.747,0.466,2,0.247,0.542,0.115,0.704
CUST_00557,7,0.912,0.712,2,0.354,0.604,0.178,0.425
CUST_00558,15,0.854,0.11,3,0.171,0.3,0.079,0.331
CUST_00559,15,0.885,0.246,3,0.445,0.498,0.139,0.479
CUST_00560,25,0.698,0.378,4,0.442,0.252,0.193,0.49
CUST_00561,10,0.651,0.491,4,0.214,0.636,0.091,0.718
CUST_00562,1,0.906,0.288,3,0.421,0.434,0.199,0.879
CUST_00563,1,0.784,0.395,2,0.359,0.691,0.127,0.923
CUST_00564,1,0.826,0.595,4,0.156,0.42,0.059,0.574
CUST_00565,7,0.881,0.552,3,0.16,0.627,0.106,0.637
CUST_00566,7,0.695,0.652,4,0.184,0.273,0.176,0.597
CUST_00567,3,0.937,0.313,4,0.261,0.557,0.199,0.63
CUST_00568,10,0.553,0.382,3,0.201,0.381,0.057,0.521
CUST_00569,7,0.846,0.12,3,0.227,0.482,0.12,0.714
CUST_00570,10,0.554,0.129,3,0.316,0.604,0.033,0.816
CUST_00571,5,0.659,0.322,3,0.154,0.279,0.148,0.823
CUST_00572,7,0.662,0.552,4,0.202,0.692,0.096,0.373
CUST_00573,1,0.905,0.252,3,0.421,0.597,0.154,0.54
CUST_00574,7,0.81,0.382,3,0.39,0.366,0.084,0.822
CUST_00575,5,0.699,0.261,3,0.409,0.635,0.153,0.487
CUST_00576,15,0.926,0.254,3,0.443,0.304,0.153,0.719
CUST_00577,10,0.79,0.351,3,0.16,0.575,0.19,0.887
CUST_00578,1,0.579,0.551,3,0.252,0.606,0.038,0.867
CUST_00579,2,0.686,0.249,3,0.386,0.479,0.061,0.597
CUST_00580,2,0.797,0.549,3,0.174,0.54,0.134,0.459
CUST_00581,1,0.619,0.3,3,0.43,0.439,0.136,0.662
CUST_00582,1,0.551,0.669,3,0.37,0.649,0.127,0.902
CUST_00583,25,0.894,0.213,4,0.325,0.328,0.067,0.772
CUST_00584,7,0.987,0.323,2,0.382,0.603,0.099,0.875
CUST_00585,1,0.907,0.529,3,0.423,0.304,0.173,0.878
CUST_00586,1,0.714,0.56,3,0.171,0.287,0.063,0.904
CUST_00587,1,0.711,0.258,3,0.106,0.473,0.105,0.368
CUST_00588,5,0.4,0.816,2,0.259,0.29,0.053,0.606
CUST_00589,1,0.708,0.294,4,0.159,0.51,0.038,0.305
CUST_00590,15,0.841,0.412,3,0.39,0.296,0.063,0.794
CUST_00591,10,0.606,0.279,3,0.363,0.682,0.034,0.609
CUST_00592,1,0.859,0.366,2,0.447,0.555,0.142,0.127
CUST_00593,2,0.636,0.563,4,0.201,0.496,0.033,0.822
CUST_00594,5,0.845,0.487,3,0.258,0.496,0.108,0.641
CUST_00595,10,0.703,0.822,5,0.273,0.489,0.095,0.287
CUST_00596,5,0.584,0.442,4,0.237,0.577,0.086,0.478
CUST_00597,5,0.871,0.588,4,0.359,0.631,0.164,0.51
CUST_00598,25,0.842,0.301,4,0.136,0.637,0.19,0.441
CUST_00599,2,0.848,0.171,5,0.14,0.467,0.112,0.191
CUST_00600,3,0.87,0.199,4,0.284,0.357,0.102,0.696
CUST_00601,25,0.58,0.597,3,0.4,0.407,0.058,0.222
CUST_00602,3,0.854,0.22,3,0.219,0.515,0.194,0.62
CUST_00603,3,0.42,0.123,4,0.181,0.681,0.052,0.594
CUST_00604,7,0.905,0.336,5,0.178,0.452,0.138,0.49
CUST_00605,1,0.594,0.238,2,0.207,0.292,0.094,0.702
CUST_00606,3,0.802,0.496,3,0.402,0.674,0.085,0.477
CUST_00607,1,0.712,0.369,5,0.329,0.685,0.193,0.389
CUST_00608,5,0.729,0.152,3,0.413,0.341,0.125,0.517
CUST_00609,5,0.433,0.63,4,0.401,0.447,0.062,0.794
CUST_00610,15,0.632,0.152,2,0.378,0.429,0.164,0.894
CUST_00611,5,0.855,0.518,4,0.238,0.277,0.172,0.81
CUST_00612,1,0.313,0.062,4,0.305,0.407,0.034,0.417
CUST_00613,1,0.941,0.378,4,0.261,0.46,0.142,0.577
CUST_00614,7,0.813,0.103,3,0.331,0.455,0.179,0.909
CUST_00615,1,0.573,0.366,3,0.345,0.415,0.195,0.914
CUST_00616,7,0.9,0.194,3,0.228,0.388,0.187,0.5
CUST_00617,7,0.741,0.153,4,0.178,0.57,0.079,0.411
CUST_00618,2,0.401,0.498,3,0.137,0.627,0.073,0.54
CUST_00619,5,0.757,0.277,3,0.152,0.264,0.152,0.895
CUST_00620,2,0.809,0.585,2,0.286,0.488,0.09,0.746
CUST_00621,1,0.653,0.636,5,0.241,0.442,0.083,0.363
CUST_00622,7,0.623,0.755,2,0.375,0.269,0.134,0.712
CUST_00623,7,0.501,0.429,3,0.135,0.347,0.079,0.417
CUST_00624,5,0.969,0.376,4,0.289,0.327,0.045,0.157
CUST_00625,7,0.743,0.753,5,0.437,0.579,0.121,0.445
CUST_00626,3,0.683,0.723,3,0.133,0.629,0.173,0.491
CUST_00627,10,0.62,0.701,3,0.377,0.606,0.102,0.736
CUST_00628,25,0.656,0.101,4,0.199,0.524,0.095,0.413
CUST_00629,1,0.82,0.16,3,0.287,0.49,0.115,0.842
CUST_00630,7,0.683,0.346,4,0.31,0.617,0.2,0.923
CUST_00631,5,0.75,0.46,2,0.211,0.264,0.063,0.462
CUST_00632,1,0.48,0.323,3,0.293,0.294,0.044,0.27
CUST_00633,10,0.688,0.419,4,0.132,0.403,0.074,0.779
CUST_00634,7,0.752,0.352,3,0.37,0.613,0.065,0.387
CUST_00635,5,0.9,0.544,3,0.403,0.603,0.156,0.626
CUST_00636,2,0.635,0.196,2,0.146,0.636,0.093,0.57
CUST_00637,7,0.509,0.339,5,0.379,0.443,0.18,0.732
CUST_00638,2,0.926,0.432,5,0.145,0.644,0.059,0.67
CUST_00639,1,0.948,0.256,3,0.306,0.424,0.158,0.35
CUST_00640,15,0.575,0.239,2,0.169,0.646,0.049,0.529
CUST_00641,3,0.879,0.487,4,0.294,0.421,0.059,0.221
CUST_00642,2,0.7,0.248,4,0.18,0.631,0.18,0.067
CUST_00643,15,0.915,0.809,4,0.174,0.491,0.091,0.49
CUST_00644,1,0.759,0.383,3,0.249,0.514,0.117,0.369
CUST_00645,1,0.65,0.115,4,0.307,0.323,0.07,0.536
CUST_00646,5,0.745,0.04,3,0.14,0.66,0.116,0.625
CUST_00647,10,0.785,0.478,3,0.247,0.588,0.176,0.756
CUST_00648,1,0.911,0.638,2,0.341,0.446,0.195,0.591
CUST_00649,1,0.935,0.564,4,0.366,0.443,0.123,0.484
CUST_00650,5,0.891,0.829,3,0.227,0.63,0.127,0.359
CUST_00651,1,0.564,0.463,3,0.26,0.568,0.144,0.342
CUST_00652,5,0.55,0.497,2,0.388,0.406,0.08,0.694
CUST_00653,7,0.758,0.368,2,0.397,0.462,0.06,0.522
CUST_00654,1,0.864,0.145,4,0.231,0.467,0.04,0.413
CUST_00655,1,0.326,0.225,2,0.125,0.444,0.083,0.297
CUST_00656,1,0.688,0.208,5,0.378,0.482,0.054,0.864
CUST_00657,3,0.471,0.354,3,0.291,0.268,0.103,0.191
CUST_00658,10,0.788,0.115,3,0.118,0.412,0.135,0.593
CUST_00659,1,0.582,0.693,2,0.373,0.674,0.046,0.851
CUST_00660,25,0.93,0.24,4,0.121,0.321,0.101,0.923
CUST_00661,7,0.572,0.283,4,0.396,0.459,0.124,0.932
CUST_00662,25,0.989,0.279,2,0.29,0.532,0.185,0.897
CUST_00663,5,0.537,0.154,2,0.291,0.573,0.111,0.423
CUST_00664,1,0.789,0.027,2,0.215,0.348,0.138,0.608
CUST_00665,25,0.608,0.109,3,0.102,0.594,0.122,0.537
CUST_00666,3,0.761,0.335,3,0.159,0.271,0.192,0.219
CUST_00667,3,0.974,0.269,3,0.163,0.444,0.193,0.242
CUST_00668,7,0.574,0.222,3,0.21,0.587,0.147,0.84
CUST_00669,10,0.72,0.3,5,0.209,0.274,0.046,0.889
CUST_00670,1,0.642,0.16,2,0.248,0.679,0.091,0.923
CUST_00671,3,0.934,0.18,4,0.221,0.607,0.069,0.81
CUST_00672,5,0.587,0.338,2,0.362,0.489,0.05,0.505
CUST_00673,1,0.561,0.265,5,0.261,0.589,0.181,0.541
CUST_00674,3,0.593,0.25,4,0.232,0.454,0.052,0.548
CUST_00675,7,0.536,0.464,5,0.433,0.528,0.156,0.414
CUST_00676,25,0.939,0.188,3,0.385,0.614,0.071,0.156
CUST_00677,15,0.804,0.307,4,0.416,0.536,0.191,0.612
CUST_00678,1,0.869,0.137,5,0.207,0.289,0.088,0.794
CUST_00679,3,0.732,0.253,4,0.429,0.617,0.081,0.477
CUST_00680,7,0.349,0.231,2,0.426,0.376,0.057,0.668
CUST_00681,7,0.398,0.829,4,0.406,0.619,0.068,0.532
CUST_00682,1,0.61,0.672,2,0.145,0.389,0.084,0.767
CUST_00683,1,0.541,0.332,4,0.165,0.577,0.176,0.608
CUST_00684,7,0.697,0.424,4,0.391,0.602,0.068,0.46
CUST_00685,7,0.9,0.162,5,0.178,0.683,0.145,0.879
CUST_00686,10,0.839,0.406,5,0.278,0.536,0.158,0.593
CUST_00687,1,0.616,0.106,3,0.38,0.28,0.14,0.504
CUST_00688,10,0.973,0.277,4,0.332,0.353,0.171,0.871
CUST_00689,7,0.642,0.738,2,0.352,0.517,0.066,0.601
CUST_00690,1,0.915,0.096,5,0.241,0.489,0.14,0.545
CUST_00691,1,0.96,0.502,3,0.223,0.628,0.189,0.865
CUST_00692,10,0.904,0.642,5,0.297,0.455,0.187,0.986
CUST_00693,5,0.803,0.303,3,0.345,0.462,0.036,0.673
CUST_00694,7,0.506,0.602,2,0.245,0.343,0.081,0.581
CUST_00695,1,0.355,0.666,4,0.314,0.428,0.188,0.773
CUST_00696,1,0.64,0.267,5,0.446,0.551,0.121,0.83
CUST_00697,3,0.671,0.596,4,0.144,0.36,0.037,0.612
CUST_00698,2,0.429,0.642,2,0.304,0.533,0.173,0.648
CUST_00699,2,0.8,0.302,2,0.242,0.545,0.033,0.422
CUST_00700,10,0.742,0.732,2,0.332,0.469,0.181,0.478
CUST_00701,2,0.46,0.153,2,0.147,0.431,0.199,0.629
CUST_00702,3,0.562,0.576,2,0.181,0.512,0.161,0.641
CUST_00703,1,0.858,0.581,4,0.421,0.367,0.18,0.832
CUST_00704,7,0.962,0.345,3,0.405,0.279,0.056,0.595
CUST_00705,25,0.733,0.27,2,0.286,0.685,0.037,0.658
CUST_00706,15,0.526,0.417,3,0.224,0.519,0.155,0.133
CUST_00707,1,0.449,0.311,5,0.359,0.251,0.122,0.569
CUST_00708,2,0.82,0.462,4,0.406,0.335,0.146,0.52
CUST_00709,3,0.846,0.421,4,0.147,0.544,0.127,0.191
CUST_00710,2,0.571,0.26,5,0.115,0.42,0.087,0.398
CUST_00711,1,0.613,0.677,4,0.409,0.57,0.122,0.763
CUST_00712,1,0.849,0.023,5,0.274,0.537,0.112,0.6
CUST_00713,3,0.76,0.715,2,0.207,0.279,0.078,0.507
CUST_00714,3,0.764,0.511,4,0.139,0.497,0.04,0.845
CUST_00715,7,0.79,0.413,4,0.16,0.6,0.16,0.292
CUST_00716,15,0.675,0.493,5,0.42,0.588,0.161,0.589
CUST_00717,1,0.856,0.473,4,0.355,0.278,0.111,0.745
CUST_00718,5,0.684,0.495,3,0.276,0.3,0.195,0.48
CUST_00719,1,0.739,0.249,3,0.412,0.323,0.085,0.673
CUST_00720,2,0.931,0.441,3,0.207,0.556,0.073,0.492
CUST_00721,3,0.701,0.322,3,0.377,0.325,0.139,0.812
CUST_00722,1,0.726,0.953,3,0.166,0.55,0.037,0.569
CUST_00723,25,0.783,0.578,4,0.309,0.54,0.033,0.539
CUST_00724,7,0.888,0.576,5,0.206,0.686,0.052,0.649
CUST_00725,1,0.815,0.474,3,0.162,0.673,0.061,0.794
CUST_00726,5,0.721,0.177,3,0.355,0.348,0.058,0.939
CUST_00727,3,0.888,0.544,3,0.336,0.499,0.059,0.53
CUST_00728,1,0.847,0.246,3,0.265,0.594,0.139,0.571
CUST_00729,2,0.9,0.296,2,0.176,0.287,0.164,0.603
CUST_00730,15,0.523,0.049,2,0.164,0.45,0.082,0.531
CUST_00731,1,0.723,0.208,2,0.209,0.344,0.097,0.674
CUST_00732,5,0.692,0.184,4,0.289,0.434,0.119,0.625
CUST_00733,15,0.863,0.508,3,0.356,0.524,0.183,0.745
CUST_00734,1,0.804,0.403,4,0.323,0.344,0.115,0.889
CUST_00735,5,0.572,0.278,3,0.23,0.317,0.176,0.765
CUST_00736,10,0.86,0.043,5,0.208,0.541,0.084,0.365
CUST_00737,1,0.938,0.521,3,0.42,0.285,0.147,0.566
CUST_00738,25,0.857,0.31,4,0.184,0.469,0.062,0.799
CUST_00739,3,0.68,0.936,3,0.282,0.42,0.073,0.365
CUST_00740,5,0.836,0.086,5,0.103,0.314,0.101,0.561
CUST_00741,10,0.737,0.362,4,0.101,0.328,0.116,0.66
CUST_00742,10,0.884,0.768,4,0.436,0.693,0.164,0.509
CUST_00743,1,0.739,0.167,4,0.133,0.573,0.133,0.433
CUST_00744,1,0.815,0.555,4,0.123,0.275,0.147,0.791
CUST_00745,3,0.681,0.573,4,0.266,0.585,0.197,0.883
CUST_00746,15,0.787,0.248,3,0.266,0.317,0.098,0.936
CUST_00747,1,0.297,0.199,5,0.109,0.458,0.135,0.784
CUST_00748,15,0.626,0.304,5,0.389,0.592,0.08,0.864
CUST_00749,1,0.663,0.183,2,0.316,0.344,0.061,0.878
